Sample,Method,Coverage,Age,NB_total_variant,VARIANT_SNV,VARIANT_INDEL,VARIANT_Substitution,VARIANT_Insertion,VARIANT_Deletion,VARIANT_Others,IMPACT_Modifier,IMPACT_Low,IMPACT_Moderate,IMPACT_HIGH,SIFT_deletarious,SIFT_not_deletarious,POLYPHEN_unknown,POLYPHEN_benign,POLYPHEN_possibly_damaging,POLYPHEN_probably_damaging,GERP_constrained,GERP_not_constrained,CADD_deletarious,CADD_not_deletarious
ATP016,VG-bam,11,4971,27492877,24300684,2413729,778464,0,0,0,27231287,122266,121501,17823,50692,64342,2111,68241,18147,28879,84292,31906,10737,106823
ATP016,VG-gam,11,4971,22763210,19842721,33778,284129,973497,1590741,38344,22630264,77170,53011,2765,12906,37139,1409,39512,5666,4767,23032,23720,552,47357
ATP016,BWA1-bam,11,4971,28509934,25828048,1767775,914111,0,0,0,28215488,136235,137560,20651,60165,70790,2279,75871,20550,34903,99563,33665,12808,120928
BOT2016,VG-bam,13,5448,17945680,15038337,2525810,381533,0,0,0,17823462,64993,50821,6404,15301,32430,977,34013,5671,8313,29458,17385,2565,44680
BOT2016,VG-gam,13,5448,15238023,12965862,24919,151086,912931,1154701,28524,15148421,53017,34802,1783,6775,26128,850,27073,3354,2554,14041,16101,237,30994
BOT2016,BWA1-bam,13,5448,17338750,15210178,1763306,365266,0,0,0,17217618,64714,50097,6321,16073,31997,968,33635,5742,8977,31046,16705,2769,45180
BR2,VG-bam,19,2858,16489220,13991960,2110295,386965,0,0,0,16380675,58066,45466,5013,13172,29724,981,31548,5164,6176,22615,17661,1381,39715
BR2,VG-gam,19,2858,18639327,16203843,29520,202086,936146,1235398,32334,18548539,54011,34965,1812,6670,26406,969,27428,3217,2335,13655,16573,274,30979
BR2,BWA1-bam,19,2858,15711935,13893352,1362135,456448,0,0,0,15606412,57304,43401,4818,13172,28422,936,30575,4778,6276,23210,16638,1486,38560
JP14,VG-bam,13,5483,16918052,13858002,2590982,469068,0,0,0,16798076,62221,53006,4749,16398,32978,1081,34747,6097,8517,27525,19305,2226,45436
JP14,VG-gam,13,5483,19979459,17310105,33783,221785,1044783,1330429,38574,19885606,55339,36609,1905,6859,27706,1013,28723,3362,2348,13827,17590,235,32291
JP14,BWA1-bam,13,5483,15416521,13256392,1570883,589246,0,0,0,15308444,57008,46965,4104,15737,28986,909,30663,5458,8680,26735,16494,2390,41071
KK1,VG-bam,12,9678,33022311,29594418,2254625,1173251,0,15,2,32722823,140902,141430,17156,54159,79116,2439,84436,19635,29453,89465,42196,8643,124384
KK1,VG-gam,12,9678,24463532,21577791,39377,329173,1046666,1428641,41884,24339260,72564,49415,2293,11143,35571,1351,37249,5185,4232,20189,22910,465,43916
KK1,BWA1-bam,12,9678,37787898,34091147,1271905,2424844,0,2,0,37380467,180259,198672,28500,86882,97856,2775,104359,29026,51931,138852,44798,16512,167860
L1583,VG-bam,24,8273,2223295,2148668,36969,37658,0,0,0,2189635,16361,16637,662,5001,10969,253,11603,1923,2558,9313,6515,706,15230
L1583,VG-gam,24,8273,50093752,45959270,57532,874173,361347,2828478,12952,49696342,216441,172755,8214,57154,106573,3601,115506,23858,24963,91786,65985,2685,157061
L1583,BWA1-bam,24,8273,2034196,1990629,17572,25995,0,0,0,2000991,16248,16380,577,5004,10849,242,11478,1869,2626,9333,6412,712,15104
Loschbour,VG-bam,22,8025,15123612,12023038,2717482,383092,0,0,0,15029816,51443,39248,3105,9839,26467,843,27591,3998,4780,18219,15485,931,33620
Loschbour,VG-gam,22,8025,17135918,14618673,29749,185531,970611,1289998,41356,17049284,51199,33841,1594,6110,25671,913,26591,2977,2216,13027,16057,176,29870
Loschbour,BWA1-bam,22,8025,14003076,11753428,1803721,445927,0,0,0,13917258,48795,34588,2435,8891,24067,791,25552,3204,4298,17478,13946,823,30728
NE1,VG-bam,19,7146,16949810,14457036,2081898,410876,0,0,0,16824365,66055,53444,5946,16859,33719,1180,35675,6517,8338,28810,19351,2362,46775
NE1,VG-gam,19,7146,19512819,17000555,30679,218195,961144,1266822,35424,19416388,56476,37992,1963,7407,28577,1078,29645,3538,2649,14915,17989,234,33752
